doc_id	variant	group_id	chain_id	link	shift	length	content	tk_shifts	attributes	head	hd_shifts
1	1	407840	1070	0	9	5	своих	9	ref:def|str:refl|type:coref		
1	1	407839	1070	407840	47	1	я	47	ref:def|str:pron|type:coref		
1	1	407842	1069	0	69	13	одинокую дачу	69,78	ref:def|str:noun|type:coref	дачу	78
1	1	407841	1069	407842	118	9	этой даче	118,123	ref:def|str:noun|type:coref	даче	123
1	1	407843	1069	407841	166	3	она	166	ref:def|str:pron|type:coref		
1	1	407846	1067	0	184	15	высоким забором	184,192	ref:def|str:noun|type:coref	забором	192
1	1	407844	1068	0	203	28	единственной низкой калиткой	203,216,223	ref:def|str:noun|type:coref	калиткой	223
1	1	407845	1068	407844	233	7	которая	233	ref:def|str:rel|type:coref		
1	1	407847	1067	407846	316	7	забором	316	ref:def|str:noun|type:coref		
1	1	407848	1069	407843	332	4	дачи	332	ref:def|str:noun|type:coref		
1	1	407975	1054	0	337	28	голые уступы желтоватых скал	337,343,350,361	ref:def|str:noun|type:coref	уступы	343
1	1	407850	1054	407975	371	4	ними	371	ref:def|str:pron|type:anaph		
1	1	407851	1070	407839	567	1	я	567	ref:def|str:pron|type:coref		
1	1	407856	1069	407848	583	4	дачи	583	ref:def|str:noun|type:coref		
1	1	407852	1070	407851	589	1	Я	589	ref:def|str:pron|type:coref		
1	1	407853	1070	407852	658	3	мое	658	ref:def|str:poss|type:coref		
1	1	407854	1070	407853	683	1	я	683	ref:def|str:pron|type:coref		
1	1	407871	1064	0	718	25	двор таинственного жилища	718,723,737	ref:def|str:noun|type:coref	двор	718
1	1	407872	1069	407856	723	20	таинственного жилища	723,737	ref:def|str:noun|type:coref	жилища	737
1	1	407855	1069	407872	782	4	дача	782	ref:def|str:noun|type:coref		
1	1	407857	1070	407854	824	1	я	824	ref:def|str:pron|type:coref		
1	1	407858	1070	407857	838	1	я	838	ref:def|str:pron|type:coref		
1	1	407859	1064	407871	873	5	двора	873	ref:def|str:noun|type:coref		
1	1	407860	1064	407859	880	2	Он	880	ref:def|str:pron|type:coref		
1	1	407861	1070	407858	981	3	мне	981	ref:def|str:pron|type:coref		
1	1	407862	1064	407860	1010	5	двору	1010	ref:def|str:noun|type:coref		
1	1	407863	1070	407861	1088	4	меня	1088	ref:def|str:pron|type:coref		
1	1	407864	1065	0	1112	4	люди	1112	ref:def|str:noun|type:anaph		
1	1	407865	1065	407864	1131	3	они	1131	ref:def|str:pron|type:anaph		
1	1	407866	1070	407863	1233	1	Я	1233	ref:def|str:pron|type:coref		
1	1	407867	1070	407866	1263	5	своих	1263	ref:def|str:refl|type:coref		
1	1	407868	1070	407867	1291	3	мне	1291	ref:def|str:pron|type:coref		
1	1	407869	1070	407868	1317	3	мое	1317	ref:def|str:poss|type:coref		
1	1	407870	1069	407855	1381	4	дачи	1381	ref:def|str:noun|type:coref		
1	1	407873	1070	407869	1412	3	мне	1412	ref:def|str:pron|type:coref		
1	1	407874	1063	0	1443	16	профессор Вагнер	1443,1453	ref:def|str:noun|type:coref	профессор Вагнер	1443,1453
1	1	407875	1063	407874	1461	16	Профессор Вагнер	1461,1471	ref:def|str:noun|type:coref	Профессор Вагнер	1461,1471
1	1	407876	1070	407873	1529	3	мое	1529	ref:def|str:poss|type:coref		
1	1	407877	1069	407870	1544	4	даче	1544	ref:def|str:noun|type:coref		
1	1	407878	1070	407876	1550	3	Мне	1550	ref:def|str:pron|type:coref		
1	1	407879	1063	407875	1595	21	необычайного человека	1595,1608	ref:def|str:noun|type:coref	человека	1608
1	1	407880	1063	407879	1643	6	своими	1643	ref:def|str:refl|type:coref		
1	1	407881	1070	407878	1675	1	Я	1675	ref:def|str:pron|type:coref		
1	1	407882	1069	407877	1704	5	дачей	1704	ref:def|str:noun|type:coref		
1	1	407883	1070	407881	1711	1	Я	1711	ref:def|str:pron|type:coref		
1	1	407884	1070	407883	1769	4	свои	1769	ref:def|str:refl|type:coref		
1	1	407963	1055	0	1845	19	можжевеловым кустом	1845,1858	ref:def|str:noun|type:coref	кустом	1858
1	1	407885	1069	407882	1878	4	дачи	1878	ref:def|str:noun|type:coref		
1	1	407886	1062	0	1898	7	человек	1898	ref:def|str:noun|type:anaph		
1	1	407888	1061	0	1928	9	одну цель	1928,1933	ref:def|str:noun|type:anaph	цель	1933
1	1	407887	1062	407886	1958	2	он	1958	ref:def|str:pron|type:anaph		
1	1	407889	1061	407888	1971	2	ее	1971	ref:def|str:pron|type:anaph		
1	1	407890	1070	407884	2021	1	я	2021	ref:def|str:pron|type:coref		
1	1	407891	1068	407845	2042	31	заветная дверь в высоком заборе	2042,2051,2057,2059,2067	ref:def|str:noun|type:coref	дверь	2051
1	1	407892	1067	407847	2059	14	высоком заборе	2059,2067	ref:def|str:noun|type:coref	заборе	2067
1	1	407893	1070	407890	2085	1	Я	2085	ref:def|str:pron|type:coref		
